dataset,model,repeat,slope,intercept
HEART,MLP,2,0.1958935889816538,-0.14800906008426024
HEART,MLP,3,0.18478257330552275,-0.14013697068133107
HEART,MLP,4,0.19590935409707608,0.19808976877679008
HEART,NB,0,0.20909649022754037,0.3092788760662365
HEART,NB,1,0.20966420406615824,0.3661769949586737
HEART,NB,2,0.21764633192431815,0.5438956657848848
HEART,NB,3,0.21608427504724637,0.6716238881475813
HEART,NB,4,0.21057620741585878,0.4331512774789129
D130,LR,0,0.8355295488336254,-0.0005095645618770541
D130,LR,1,0.8225839048532546,-0.0008301415280069849
D130,LR,2,0.8327853833320883,-9.932322168654945e-05
D130,LR,3,0.8649167885131724,-7.118768312453817e-05
D130,LR,4,0.8109174971007189,-0.0015730495065934026
D130,RF,0,0.19905054775923972,-0.10630966897738695
D130,RF,1,0.183685444993903,-0.1047730323688478
D130,RF,2,0.2654179902709485,-0.10424819541538052
D130,RF,3,0.2493641054395812,-0.09613668026766833
D130,RF,4,0.26176157340979267,-0.10618943057740197
D130,XGB,0,0.17897494926058152,0.1642225571629064
D130,XGB,1,0.17501103873567503,0.17569993882426682
D130,XGB,2,0.2083219705183182,0.15408365017492603
D130,XGB,3,0.17641534904911615,0.14919643099143964
D130,XGB,4,0.18429218958159718,0.16138739892589507
D130,SVM,0,0.9471299472980835,-0.00011938100671315607
D130,SVM,1,1.033868731334049,0.0013644835542385506
D130,SVM,2,1.0896328747306196,0.00012897188973319887
D130,SVM,3,0.9077352832472311,0.0013464170257891338
D130,SVM,4,0.8746624656410349,-0.001468707624686351
D130,MLP,0,0.02141910797117451,-0.043646739996364425
D130,MLP,1,0.015280346489691548,0.14162804790790395
D130,MLP,2,0.01808799844159977,0.28811709327587187
D130,MLP,3,0.017088146309712053,-0.029195527369986818
D130,MLP,4,0.020043659369218227,0.07580560085788252
D130,NB,0,0.07648296695722345,-0.9068533321521476
D130,NB,1,0.0776727838873259,-0.9523734942296529
D130,NB,2,0.07479475932051495,-0.9431796153755578
D130,NB,3,0.08171281924794266,-0.9515390354542199
D130,NB,4,0.07598331818283825,-0.9634136358859231
