dataset,model,axis,level,n_units,tau_mean,tau_sd,tau_min,wtau_mean,wtau_sd,wtau_min,rbo_mean,rbo_sd,rbo_min,j5_mean,j5_sd,j5_min
D130,LR,boot,feature,38,0.4576805480616733,0.090020961529997,0.1436699857752489,0.6676544909674658,0.0780579081551147,0.4040669763154548,0.7164006006780956,0.0693044597556503,0.5058172517795038,0.4556011676701332,0.1652256286074143,0.1111111111111111
D130,LR,boot,group,20,0.5280338777979432,0.1150699886476128,0.1684210526315789,0.6972127177278612,0.0898851414877028,0.3460246920955994,0.8044366840680308,0.0528359605949351,0.6413593150785496,0.5397099069512863,0.1716253831514267,0.25
D130,RF,seed,feature,38,0.945599319827995,0.0131925817713429,0.9089615931721196,0.9734614663906148,0.0081161725858565,0.9478952719992269,0.9735536723821828,0.0146143493406905,0.9397149884599596,0.8689655172413792,0.1630006253893647,0.6666666666666666
D130,RF,seed,group,20,0.9478523895946764,0.0210106327360381,0.8842105263157894,0.9714230198178948,0.0139212476048843,0.9308529906840916,0.9790942266589416,0.0135834256176809,0.9356635998184728,0.8283524904214559,0.1667840397484197,0.6666666666666666
D130,RF,boot,feature,38,0.8064649041055575,0.0292866293441584,0.7297297297297297,0.8959701659832675,0.0187473291347818,0.8312700453324102,0.8900147491900939,0.0331869667753918,0.7635536417359643,0.6958128078817735,0.1722488958190636,0.25
D130,RF,boot,group,20,0.7987900786448882,0.0508910677906566,0.6105263157894737,0.873865232862989,0.0358454819076655,0.7302360350071908,0.9019170469939748,0.0343193073564531,0.7915315872583425,0.7349753694581281,0.1611906886415927,0.4285714285714285
D130,XGB,seed,feature,38,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
D130,XGB,seed,group,20,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
D130,XGB,boot,feature,38,0.7907555468354017,0.0345022937457745,0.678520625889047,0.8846233378642302,0.0227455260138473,0.7977900362948067,0.8717305320741321,0.0532096955053664,0.7378947964854851,0.8099616858237547,0.1652098343418299,0.6666666666666666
D130,XGB,boot,group,20,0.822625529340593,0.0469373963808626,0.6631578947368422,0.8775577249705764,0.036777237870795,0.770852405062769,0.8825689875136823,0.0531661004035652,0.7461975057834296,0.8132457580733443,0.179275439512231,0.4285714285714285
