config,metric,dataset,a,b,mean_diff,t,p,P_b_better,P_rope,P_a_better,p_holm
default,MCC,BC,LR,MLP,-0.0035831000382131164,-0.24144099345595374,0.814624341624849,0.14854368138249488,0.7782986116220436,0.07315770699546155,1.0
default,MCC,BC,LR,NB,0.07123925685405612,2.1279201198335254,0.0622315073293198,0.01167474826803838,0.06835229947560273,0.9199729522563589,0.8090095952811573
default,MCC,BC,RF,XGB,-0.016357197508573906,-0.7578676378169865,0.46790915907504343,0.43481801083413435,0.5020837111636888,0.0630982780021768,1.0
default,MCC,BC,RF,SVM,-0.005610115715626596,-0.3888300826610946,0.7064408470527116,0.17220967972987428,0.7730505073822251,0.054739812887900655,1.0
default,MCC,BC,RF,MLP,-0.026817871149315532,-1.0003770060730324,0.34326366134829067,0.5975687522865221,0.3451690917796853,0.05726215593379262,1.0
default,MCC,BC,RF,NB,0.048004485742953705,2.390864044079932,0.040499980814850144,0.004007773849043646,0.09416324261440989,0.9018289835365465,0.566999731407902
default,MCC,BC,XGB,SVM,0.01074708179294731,0.434341940547165,0.674267164104356,0.12258833375375912,0.518933102668818,0.35847856357742286,1.0
default,MCC,BC,XGB,MLP,-0.010460673640741625,-0.5871157805216909,0.5715583717657603,0.3025815459545939,0.6367508374326045,0.06066761661280149,1.0
default,MCC,BC,XGB,NB,0.06436168325152761,1.8022676932567963,0.10501304160540594,0.021177998847999473,0.10148335953434451,0.8773386416176561,1.0
default,MCC,BC,SVM,MLP,-0.021207755433688934,-0.8533117586553508,0.4156185531083229,0.5188580098029364,0.41538499174752025,0.06575699844954337,1.0
default,MCC,BC,SVM,NB,0.053614601458580304,2.7328906486432842,0.023114929348110765,0.002262372937193141,0.0580453754614495,0.9396922516013574,0.3467239402216615
default,MCC,BC,MLP,NB,0.07482235689226924,2.0011922978898395,0.07640580151865743,0.01592281441679917,0.07228811499279608,0.9117890705904047,0.9168696182238891
default,MCC,PIMA,LR,RF,-0.005504376322441662,-0.13331429466243336,0.8968781089732524,0.36670656844487415,0.3574041980225075,0.27588923353261835,1.0
default,MCC,PIMA,LR,XGB,0.06879004114746183,1.6061742816889049,0.14269804310895773,0.03392098835582414,0.1079243455684128,0.8581546660757631,1.0
default,MCC,PIMA,LR,SVM,0.017349059503664704,0.7477684002056383,0.47368456693463246,0.07081737117976433,0.4734457875323404,0.4557368412878952,1.0
default,MCC,PIMA,LR,MLP,0.14518084041476584,3.4631789746651163,0.007124989710180987,0.0016945717798147388,0.005926040885248063,0.9923793873349372,0.09974985594253381
default,MCC,PIMA,LR,NB,0.05929076770209638,1.5985556892444444,0.1443837351867343,0.030539952278101634,0.12781156413238182,0.8416484835895166,1.0
default,MCC,PIMA,RF,XGB,0.0742944174699035,2.4580932050007123,0.036271934125668655,0.006137655299757761,0.046746136315335085,0.9471162083849072,0.4352632095080239
default,MCC,PIMA,RF,SVM,0.022853435826106366,0.5656944491938651,0.5854267137480654,0.15804395122124457,0.3145530405471568,0.5274030082315986,1.0
default,MCC,PIMA,RF,MLP,0.1506852167372075,2.6778850396160445,0.025293557884829468,0.007058795831821775,0.015527311370410968,0.9774138927977672,0.32881625250278307
default,MCC,PIMA,RF,NB,0.06479514402453805,1.4154195082517436,0.1906042380448786,0.04838812122828551,0.12812833472202056,0.8234835440496939,1.0
default,MCC,PIMA,XGB,SVM,-0.05144098164379714,-1.4753688460929875,0.17421806433490566,0.8048318332729938,0.15989241029209872,0.035275756434907504,1.0
default,MCC,PIMA,XGB,MLP,0.076390799267304,1.5649151724365011,0.15204250804119715,0.039776702181075936,0.09893012227855558,0.8612931755403684,1.0
default,MCC,PIMA,XGB,NB,-0.009499273445365452,-0.1613030577806206,0.8754176048976469,0.4311631936853899,0.2547394464499838,0.3140973598646263,1.0
default,MCC,PIMA,SVM,MLP,0.12783178091110114,3.8962140984767695,0.0036403347389239206,0.0007346675193230364,0.003961007284286722,0.9953043251963902,0.05460502108385881
