strategy,model,repeat,fold,ACC,BAL,F1,AUC,MCC,BRIER
median,RF,3,7,0.8051948051948052,0.7818518518518518,0.7169811320754716,0.8522222222222222,0.5687822180346598,0.1510103896103896
median,RF,3,8,0.7368421052631579,0.7446153846153847,0.6666666666666666,0.8161538461538461,0.46678977660158144,0.1635671052631579
median,RF,3,9,0.6447368421052632,0.6469230769230769,0.5573770491803278,0.7580769230769231,0.2796827854308572,0.19568157894736843
median,RF,4,0,0.6883116883116883,0.6918518518518519,0.6129032258064516,0.7366666666666667,0.3677089562999654,0.19441168831168834
median,RF,4,1,0.8051948051948052,0.8074074074074074,0.7457627118644068,0.8777777777777778,0.5952918846948437,0.13986103896103896
median,RF,4,2,0.8441558441558441,0.8629629629629629,0.8064516129032258,0.8962962962962963,0.6956655929999346,0.12405844155844153
median,RF,4,3,0.7532467532467533,0.7333333333333334,0.6545454545454545,0.8081481481481481,0.4629100498862757,0.1650025974025974
median,RF,4,4,0.8051948051948052,0.8244444444444444,0.7619047619047619,0.8818518518518519,0.6205746673816492,0.1403714285714286
median,RF,4,5,0.7402597402597403,0.7488888888888889,0.6774193548387096,0.8166666666666667,0.4770278351999552,0.16799090909090908
median,RF,4,6,0.6883116883116883,0.7259259259259259,0.6571428571428571,0.7925925925925925,0.43419944545496514,0.18214285714285713
median,RF,4,7,0.8181818181818182,0.825925925925926,0.7666666666666667,0.8962962962962963,0.628539361054709,0.1281974025974026
median,RF,4,8,0.7368421052631579,0.7353846153846153,0.6551724137931034,0.7826923076923078,0.4523539829316482,0.17426052631578948
median,RF,4,9,0.7105263157894737,0.7153846153846153,0.6333333333333333,0.791923076923077,0.41100986619007174,0.17517105263157898
median,XGB,0,0,0.7142857142857143,0.7203703703703703,0.6451612903225806,0.8296296296296296,0.4223683957499603,0.19158656895160675
median,XGB,0,1,0.7662337662337663,0.7348148148148148,0.6538461538461539,0.8148148148148148,0.4785757597651158,0.18617472052574158
median,XGB,0,2,0.6623376623376623,0.6207407407407407,0.5,0.7385185185185185,0.24608154208742547,0.24100269377231598
median,XGB,0,3,0.8181818181818182,0.8003703703703704,0.7407407407407407,0.8896296296296295,0.6007407407407407,0.15102815628051758
median,XGB,0,4,0.7792207792207793,0.7874074074074073,0.7213114754098361,0.8674074074074074,0.5523586388082835,0.13947109878063202
median,XGB,0,5,0.7142857142857143,0.7033333333333334,0.6206896551724138,0.7740740740740741,0.39568145630893564,0.22966021299362183
median,XGB,0,6,0.7272727272727273,0.7133333333333334,0.631578947368421,0.7414814814814814,0.417489966754203,0.2306923121213913
median,XGB,0,7,0.7922077922077922,0.7974074074074073,0.7333333333333333,0.8296296296296295,0.5735421669624219,0.1748143881559372
median,XGB,0,8,0.6973684210526315,0.6961538461538461,0.6101694915254238,0.7884615384615385,0.3754977181653353,0.19569994509220123
median,XGB,0,9,0.6447368421052632,0.6192307692307693,0.509090909090909,0.686923076923077,0.23288530726779577,0.2557728588581085
median,XGB,1,0,0.6493506493506493,0.6448148148148148,0.5573770491803278,0.7533333333333334,0.27831472651293665,0.23052693903446198
median,XGB,1,1,0.6883116883116883,0.6662962962962963,0.5714285714285714,0.7459259259259259,0.3275366019667524,0.2527722120285034
median,XGB,1,2,0.7012987012987013,0.7018518518518518,0.6229508196721312,0.7644444444444445,0.3879322914310754,0.213655024766922
median,XGB,1,3,0.7142857142857143,0.6777777777777778,0.5769230769230769,0.7992592592592592,0.36232865092627065,0.19827383756637573
median,XGB,1,4,0.7402597402597403,0.6977777777777778,0.6,0.8325925925925926,0.4123951744684367,0.1785655915737152
median,XGB,1,5,0.7922077922077922,0.788888888888889,0.7241379310344828,0.8785185185185185,0.5621703750837337,0.14735113084316254
median,XGB,1,6,0.7402597402597403,0.7574074074074073,0.6875,0.8274074074074075,0.49168511697452694,0.18626172840595245
median,XGB,1,7,0.6883116883116883,0.6833333333333333,0.6,0.7933333333333333,0.3535533905932738,0.19989871978759766
median,XGB,1,8,0.6842105263157895,0.676923076923077,0.5862068965517241,0.7576923076923077,0.3400046276937225,0.23287677764892578
median,XGB,1,9,0.8421052631578947,0.8338461538461539,0.7777777777777778,0.8907692307692308,0.6566718729456507,0.13460779190063477
median,XGB,2,0,0.7662337662337663,0.7518518518518519,0.6785714285714286,0.8096296296296296,0.49604652413672967,0.19015568494796753
median,XGB,2,1,0.8051948051948052,0.7988888888888889,0.7368421052631579,0.8933333333333333,0.5849208388379199,0.1451728343963623
median,XGB,2,2,0.7922077922077922,0.8059259259259259,0.7419354838709677,0.8355555555555555,0.5863467140999449,0.16368956863880157
median,XGB,2,3,0.6883116883116883,0.6833333333333333,0.6,0.7185185185185186,0.3535533905932738,0.256008118391037
median,XGB,2,4,0.7792207792207793,0.7618518518518518,0.6909090909090909,0.8014814814814815,0.519487944872376,0.1844537854194641
median,XGB,2,5,0.7662337662337663,0.7603703703703704,0.6896551724137931,0.8244444444444444,0.5066740688254677,0.16193324327468872
median,XGB,2,6,0.6883116883116883,0.6662962962962963,0.5714285714285714,0.7748148148148148,0.3275366019667524,0.21615362167358398
median,XGB,2,7,0.8051948051948052,0.7988888888888889,0.7368421052631579,0.8496296296296296,0.5849208388379199,0.16077721118927002
median,XGB,2,8,0.75,0.726923076923077,0.6415094339622641,0.8007692307692308,0.4498838606904829,0.1969357281923294
median,XGB,2,9,0.6447368421052632,0.6561538461538461,0.5714285714285714,0.7284615384615385,0.2964293432888574,0.24870260059833527
median,XGB,3,0,0.8051948051948052,0.7818518518518518,0.7169811320754716,0.854074074074074,0.5687822180346598,0.1468064934015274
median,XGB,3,1,0.6753246753246753,0.6903703703703703,0.6153846153846154,0.7955555555555556,0.3633892979661664,0.21230420470237732
median,XGB,3,2,0.6883116883116883,0.6748148148148148,0.5862068965517241,0.7481481481481481,0.3401851500506696,0.23907463252544403
median,XGB,3,3,0.7662337662337663,0.7433333333333333,0.6666666666666666,0.8244444444444444,0.4866666666666667,0.1900886595249176
median,XGB,3,4,0.7402597402597403,0.7488888888888889,0.6774193548387096,0.8214814814814815,0.4770278351999552,0.18700000643730164
median,XGB,3,5,0.6883116883116883,0.6662962962962963,0.5714285714285714,0.7229629629629629,0.3275366019667524,0.23740223050117493
median,XGB,3,6,0.7532467532467533,0.7674074074074073,0.6984126984126984,0.8651851851851852,0.5114782075908113,0.1618042141199112
median,XGB,3,7,0.7662337662337663,0.7262962962962962,0.64,0.8466666666666667,0.47186039625508397,0.17899201810359955
median,XGB,3,8,0.6973684210526315,0.6592307692307693,0.5490196078431373,0.8130769230769231,0.3215685538755756,0.2174200564622879
median,XGB,3,9,0.6973684210526315,0.686923076923077,0.5964912280701754,0.7461538461538462,0.3608921946768315,0.2315046340227127
median,XGB,4,0,0.7142857142857143,0.7033333333333334,0.6206896551724138,0.7874074074074073,0.39568145630893564,0.2027697116136551
median,XGB,4,1,0.7922077922077922,0.7718518518518518,0.7037037037037037,0.857037037037037,0.5437037037037037,0.17494484782218933
median,XGB,4,2,0.7792207792207793,0.7618518518518518,0.6909090909090909,0.8770370370370371,0.519487944872376,0.14897483587265015
median,XGB,4,3,0.7532467532467533,0.7248148148148148,0.6415094339622641,0.837037037037037,0.4536804288397352,0.18253780901432037
median,XGB,4,4,0.7402597402597403,0.7318518518518519,0.6551724137931034,0.8385185185185184,0.4511777625672017,0.17493538558483124
median,XGB,4,5,0.7272727272727273,0.7133333333333334,0.631578947368421,0.8140740740740741,0.417489966754203,0.19789281487464905
median,XGB,4,6,0.7142857142857143,0.7288888888888889,0.65625,0.7837037037037037,0.43721065077734916,0.23610422015190125
median,XGB,4,7,0.8181818181818182,0.8429629629629629,0.78125,0.8718518518518519,0.6551085155660604,0.1446422040462494
median,XGB,4,8,0.631578947368421,0.6092307692307692,0.5,0.6900000000000001,0.21203478816820132,0.2653545141220093
median,XGB,4,9,0.7368421052631579,0.716923076923077,0.6296296296296297,0.7723076923076924,0.4266854105315057,0.19611871242523193
median,SVM,0,0,0.6883116883116883,0.7088888888888889,0.6363636363636364,0.8274074074074074,0.39873845146482073,0.16252049620840378
median,SVM,0,1,0.7402597402597403,0.7233333333333334,0.6428571428571429,0.8348148148148148,0.4398765500800706,0.16355928323268268
median,SVM,0,2,0.7142857142857143,0.7118518518518518,0.6333333333333333,0.7799999999999999,0.4085505846855608,0.1839293371992056
median,SVM,0,3,0.8831168831168831,0.8503703703703703,0.8163265306122449,0.914074074074074,0.7401701506085286,0.116334861086984
median,SVM,0,4,0.7142857142857143,0.6948148148148148,0.6071428571428571,0.8074074074074074,0.3837065760234115,0.16619547135022028
median,SVM,0,5,0.7402597402597403,0.7233333333333334,0.6428571428571429,0.845925925925926,0.4398765500800706,0.16364153674912202
median,SVM,0,6,0.7662337662337663,0.7348148148148148,0.6538461538461539,0.8140740740740741,0.4785757597651158,0.1733462624795454
median,SVM,0,7,0.7662337662337663,0.768888888888889,0.7,0.8296296296296295,0.5185449728701349,0.15799313106073584
median,SVM,0,8,0.7368421052631579,0.7538461538461538,0.6774193548387096,0.8415384615384616,0.48238191061886604,0.15630542495726407
median,SVM,0,9,0.6578947368421053,0.6292307692307693,0.5185185185185185,0.7623076923076924,0.254195563720897,0.1916863421680289
median,SVM,1,0,0.7142857142857143,0.7033333333333334,0.6206896551724138,0.7948148148148149,0.39568145630893564,0.17878242384047588
median,SVM,1,1,0.6753246753246753,0.6562962962962963,0.5614035087719298,0.7251851851851853,0.3058693853650585,0.2281195529599929
median,SVM,1,2,0.8051948051948052,0.7988888888888889,0.7368421052631579,0.8540740740740741,0.5849208388379199,0.14684464373124317
median,SVM,1,3,0.7662337662337663,0.7603703703703704,0.6896551724137931,0.8503703703703704,0.5066740688254677,0.15877631885056936
median,SVM,1,4,0.7402597402597403,0.6892592592592592,0.5833333333333334,0.8288888888888889,0.40555555555555556,0.17961695890558438
median,SVM,1,5,0.8441558441558441,0.845925925925926,0.7931034482758621,0.9222222222222223,0.6731629876002658,0.10873264577147294
median,SVM,1,6,0.7272727272727273,0.7644444444444445,0.6956521739130435,0.8614814814814815,0.5068420748999524,0.14777540454127877
median,SVM,1,7,0.7532467532467533,0.7248148148148148,0.6415094339622641,0.7785185185185184,0.4536804288397352,0.18836041441490534
median,SVM,1,8,0.7368421052631579,0.7076923076923077,0.6153846153846154,0.8084615384615385,0.4153846153846154,0.17325949907121965
median,SVM,1,9,0.7894736842105263,0.7661538461538462,0.6923076923076923,0.8730769230769232,0.5323076923076923,0.13781922661108123
median,SVM,2,0,0.7402597402597403,0.6977777777777778,0.6,0.8607407407407407,0.4123951744684367,0.16008670973674521
median,SVM,2,1,0.7532467532467533,0.7418518518518519,0.6666666666666666,0.8644444444444445,0.4733002574487753,0.15346804991873333
median,SVM,2,2,0.7532467532467533,0.7503703703703704,0.6779661016949152,0.8340740740740741,0.4848401374141137,0.15693039212360677
median,SVM,2,3,0.6623376623376623,0.6803703703703703,0.6060606060606061,0.7637037037037037,0.34430075507689306,0.19398702181603492
median,SVM,2,4,0.7532467532467533,0.7162962962962962,0.6274509803921569,0.8303703703703704,0.44565871858907996,0.16905667235236796
median,SVM,2,5,0.7922077922077922,0.7974074074074073,0.7333333333333333,0.8525925925925926,0.5735421669624219,0.14925524837780266
median,SVM,2,6,0.7402597402597403,0.7233333333333334,0.6428571428571429,0.84,0.4398765500800706,0.1525890143710321
median,SVM,2,7,0.8701298701298701,0.865925925925926,0.8214285714285714,0.9,0.7207264203633661,0.12493476871761036
median,SVM,2,8,0.7236842105263158,0.6607692307692308,0.5333333333333333,0.8315384615384616,0.3522819383711917,0.17226975970498684
median,SVM,2,9,0.7368421052631579,0.7353846153846153,0.6551724137931034,0.7992307692307692,0.4523539829316482,0.17614517010568018
median,SVM,3,0,0.8051948051948052,0.7903703703703704,0.7272727272727273,0.8488888888888889,0.5760658398584765,0.14536020708148298
median,SVM,3,1,0.7272727272727273,0.7303703703703703,0.6557377049180327,0.8144444444444444,0.4427410738901448,0.1671919301080606
median,SVM,3,2,0.8051948051948052,0.7988888888888889,0.7368421052631579,0.8444444444444444,0.5849208388379199,0.1532909067528175
median,SVM,3,3,0.7792207792207793,0.778888888888889,0.711864406779661,0.8503703703703704,0.5400660110544787,0.14622101239777158
median,SVM,3,4,0.7532467532467533,0.7759259259259259,0.7076923076923077,0.8496296296296297,0.5267023871299493,0.1544338559617709
median,SVM,3,5,0.7532467532467533,0.7162962962962962,0.6274509803921569,0.7777777777777777,0.44565871858907996,0.18400137239213496
median,SVM,3,6,0.7662337662337663,0.768888888888889,0.7,0.8555555555555556,0.5185449728701349,0.14687653428312206
median,SVM,3,7,0.8051948051948052,0.7733333333333333,0.7058823529411765,0.84,0.563178312189625,0.15033669807102687
median,SVM,3,8,0.75,0.7176923076923076,0.6274509803921569,0.8261538461538462,0.43963237075742945,0.17079717748579146
median,SVM,3,9,0.6578947368421053,0.6384615384615384,0.5357142857142857,0.7484615384615385,0.26877649204419884,0.20371872484018752
median,SVM,4,0,0.6233766233766234,0.6077777777777778,0.5084745762711864,0.7414814814814814,0.20871076921228857,0.18944196390596432
median,SVM,4,1,0.7792207792207793,0.7618518518518518,0.6909090909090909,0.885925925925926,0.519487944872376,0.1422689779528025
median,SVM,4,2,0.8051948051948052,0.7988888888888889,0.7368421052631579,0.8814814814814815,0.5849208388379199,0.13394273036301352
median,SVM,4,3,0.7532467532467533,0.7248148148148148,0.6415094339622641,0.8455555555555556,0.4536804288397352,0.1535475192296346
median,SVM,4,4,0.7532467532467533,0.7418518518518519,0.6666666666666666,0.8651851851851853,0.4733002574487753,0.15290020985154376
median,SVM,4,5,0.7662337662337663,0.768888888888889,0.7,0.8511111111111112,0.5185449728701349,0.1573533480041698
median,SVM,4,6,0.7012987012987013,0.7018518518518518,0.6229508196721312,0.7666666666666666,0.3879322914310754,0.2027583573609194
