metric,dataset,a,b,mean_diff,t,p,P_b_better,P_rope,P_a_better,p_holm
MCC,BC,LR,MLP,-0.00701397282160878,-0.6346806746621754,0.528589133990843,0.12262814119416926,0.8683410301227079,0.009030828683122907,1.0
MCC,BC,LR,NB,0.07139179735015916,3.167947248120772,0.0026432341128087085,8.849093997995465e-05,0.013335244338026464,0.9865762647219936,0.03700527757932192
MCC,BC,RF,XGB,-0.01358186001483434,-0.8806521287151103,0.3828052720728306,0.33943205411405625,0.6434934847112984,0.017074461174645266,1.0
MCC,BC,RF,SVM,-0.013825073648880321,-0.7105438605662494,0.48073534086635644,0.3760596007204925,0.5798619820560503,0.04407841722345715,1.0
MCC,BC,RF,MLP,-0.03119951696160176,-1.9606338586933285,0.05561940615130066,0.7577347251222812,0.2411269224801645,0.0011383523975542378,0.5561940615130067
MCC,BC,RF,NB,0.047206253210166166,2.031125250344831,0.04768551920918222,0.0028313527957050315,0.12068793371475817,0.8764807134895368,0.5245407113010044
MCC,BC,XGB,SVM,-0.0002432136340459823,-0.011556468715517722,0.9908264018693295,0.17603253107257882,0.65374656077707,0.1702209081503512,1.0
MCC,BC,XGB,MLP,-0.01761765694676742,-0.8980199830727866,0.3735664166626496,0.4518821806121901,0.5177124375398341,0.030405381847975758,1.0
MCC,BC,XGB,NB,0.060788113225000495,2.478865952682463,0.016670271548598632,0.0009111297035912976,0.05026987506617786,0.9488189952302308,0.2000432585831836
MCC,BC,SVM,MLP,-0.01737444331272144,-1.1297923739524356,0.2640640981405151,0.43251443533379563,0.5581350652465307,0.009350499419673749,1.0
MCC,BC,SVM,NB,0.061031326859046484,2.95519518662968,0.004792526452961968,0.00013457193945897762,0.026048384474356423,0.9738170435861846,0.062302843888505585
MCC,BC,MLP,NB,0.07840577017176792,3.3013222347522713,0.0018003690908363385,6.668095842017613e-05,0.008640537735121412,0.9912927813064584,0.027005536362545077
MCC,PIMA,LR,RF,-0.002885777528167436,-0.09294784315305137,0.9263239970343535,0.29176042609249075,0.47623147687397693,0.2320080970335323,1.0
MCC,PIMA,LR,XGB,0.049567739422218135,1.2917963417896265,0.2024876517094796,0.03780455116930458,0.18424839003374838,0.777947058796947,1.0
MCC,PIMA,LR,SVM,0.01728979737917107,0.6428254020191667,0.5233341762088238,0.08569083486022808,0.45428339443655963,0.46002577070321227,1.0
MCC,PIMA,LR,MLP,0.09544914742138488,2.1223764852667615,0.038884933861994514,0.006626850854950211,0.043062122793387725,0.9503110263516621,0.5443890740679231
MCC,PIMA,LR,NB,0.05297767007642777,1.8518607852449729,0.07007581264185793,0.006903241048987232,0.12011240490217223,0.8729843540488406,0.9109855643441531
MCC,PIMA,RF,XGB,0.05245351695038559,1.7898796253243698,0.07965359393780774,0.00840772596246803,0.12806241756480774,0.8635298564727242,0.9558431272536929
MCC,PIMA,RF,SVM,0.0201755749073385,0.7164045879593165,0.47714228619332344,0.07977112060906463,0.41775135227049076,0.5024775271204446,1.0
MCC,PIMA,RF,MLP,0.0983349249495523,2.2479223021733317,0.029114789258782525,0.004642299756611369,0.0349374005853641,0.9604202996580246,0.4367218388817379
MCC,PIMA,RF,NB,0.05586344760459522,1.6831015681296875,0.09871737956886378,0.013230388211166233,0.12907722161943558,0.8576923901693982,0.99588758826694
MCC,PIMA,XGB,SVM,-0.03227794204304708,-0.8721279802602274,0.3873920686177305,0.6294029899259848,0.2887906808966728,0.08180632917734244,1.0
MCC,PIMA,XGB,MLP,0.045881407999166735,1.0082482742809562,0.3182884050318693,0.07678081579224022,0.20904749233542153,0.7141716918723382,1.0
MCC,PIMA,XGB,NB,0.003409930654209633,0.08506101940999211,0.9325594824074295,0.28072326716769425,0.3790629263161712,0.34021380651613453,1.0
MCC,PIMA,SVM,MLP,0.07815935004221382,1.726626081068013,0.09053523529699455,0.01739750252631641,0.08478042495443372,0.8978220725192498,0.99588758826694
MCC,PIMA,SVM,NB,0.035687872697256706,1.2331219669656612,0.22341340068990204,0.029923695149504163,0.26496531011573377,0.705110994734762,1.0
MCC,PIMA,MLP,NB,-0.042471477344957105,-0.9776314603490034,0.3330588143922947,0.6965688305442337,0.22528488863758156,0.07814628081818477,1.0
MCC,HEART,LR,RF,0.02004669353236521,0.46831790046226235,0.641633900023751,0.17447302367491377,0.3250893191414068,0.5004376571836794,1.0
MCC,HEART,LR,XGB,0.06559074832562416,1.52151861635614,0.13455738107227122,0.025141710520260367,0.12000189682206208,0.8548563926576775,1.0
MCC,HEART,LR,SVM,0.004957420472102515,0.12990883830638406,0.8971703855494477,0.2558221690685831,0.3981686046184223,0.3460092263129946,1.0
MCC,HEART,LR,MLP,0.0974801697150612,1.9960228369882431,0.05150473541969096,0.009366306574599016,0.04823670512889533,0.9423969882965056,0.7210662958756734
MCC,HEART,LR,NB,0.03802588262303195,0.9445528811553363,0.34952161824544,0.07575035629054365,0.25066164230339494,0.6735880014060615,1.0
MCC,HEART,RF,XGB,0.04554405479325895,1.1398431412689056,0.2598929281495676,0.0518351113160772,0.20873724020350704,0.7394276484804158,1.0
MCC,HEART,RF,SVM,-0.015089273060262691,-0.4233527240959521,0.6738904131966464,0.4449029100314454,0.39282355920814355,0.162273530760411,1.0
MCC,HEART,RF,MLP,0.07743347618269598,1.976931077295698,0.053690698463351394,0.007625875842399775,0.06471649173453209,0.9276576324230681,0.7210662958756734
MCC,HEART,RF,NB,0.017979189090666748,0.41186182943361094,0.6822368761298229,0.1917244999636841,0.3268417773343412,0.48143372270197465,1.0
MCC,HEART,XGB,SVM,-0.06063332785352164,-1.5055913876813527,0.13859174822390413,0.8436104163612537,0.1321656549366742,0.02422392870207212,1.0
MCC,HEART,XGB,MLP,0.031889421389437046,0.8017574024500824,0.42656448790681595,0.09669276436223442,0.2852103771238832,0.6180968585138824,1.0
MCC,HEART,XGB,NB,-0.027564865702592204,-0.5920696493379854,0.556526170774872,0.5648946609209691,0.28170575366185135,0.15339958541717957,1.0
MCC,HEART,SVM,MLP,0.0925227492429587,2.6614090811754694,0.010492570829629106,0.0009806971678128172,0.019070645028634425,0.9799486578035528,0.1573885624444366
