dataset,model,fold,config,n_train,n_test,best_params,ACC,BAL,F1,AUC,MCC,BRIER
HEART,NB,9,tuned,273,30,{'clf__var_smoothing': 1e-05},0.8666666666666667,0.8660714285714286,0.8571428571428571,0.9017857142857143,0.7321428571428571,0.11950875241601497
D130,LR,0,default,9000,1000,,0.628,0.6032018155132648,0.21518987341772153,0.6370576844805683,0.1207823853324868,0.07953699366213128
D130,LR,0,tuned,9000,1000,{'clf__C': 0.01},0.621,0.6044290136780177,0.2153209109730849,0.6370453508306713,0.12170850858918644,0.0793572940700897
D130,LR,1,default,9000,1000,,0.621,0.6551203147547454,0.24652087475149106,0.6877243182575019,0.17935103456798707,0.07877303763729447
D130,LR,1,tuned,9000,1000,{'clf__C': 0.01},0.621,0.6652585749700909,0.252465483234714,0.6887726784987482,0.19080886919923468,0.0786956166284789
D130,LR,2,default,9000,1000,,0.615,0.5909976689401695,0.20618556701030927,0.6276224423093526,0.10596157194989048,0.07964777948922987
D130,LR,2,tuned,9000,1000,{'clf__C': 0.01},0.62,0.5937419060422551,0.20833333333333334,0.6303975135361808,0.10940091193972958,0.07949176948197874
D130,LR,3,default,9000,1000,,0.631,0.5920024420024419,0.20985010706638116,0.6091330891330891,0.10865672302039259,0.08037890660090516
D130,LR,3,tuned,9000,1000,{'clf__C': 0.01},0.63,0.5914529914529914,0.2094017094017094,0.604957264957265,0.10795152210492845,0.0803480202723198
D130,LR,4,default,9000,1000,,0.645,0.5796703296703296,0.20224719101123595,0.6251648351648351,0.09529596822977295,0.07997017362195231
D130,LR,4,tuned,9000,1000,{'clf__C': 0.01},0.636,0.5847374847374848,0.2052401746724891,0.6290842490842492,0.10056921651327837,0.0798365202912031
D130,LR,5,default,9000,1000,,0.624,0.5981684981684982,0.21338912133891214,0.6393406593406594,0.11530616277117493,0.08119046590416142
D130,LR,5,tuned,9000,1000,{'clf__C': 0.01},0.62,0.595970695970696,0.21161825726141079,0.638949938949939,0.11251638428919378,0.08101027911305539
D130,LR,6,default,9000,1000,,0.611,0.586019536019536,0.20449897750511248,0.6374969474969475,0.1005414995630025,0.08009159279622942
D130,LR,6,tuned,9000,1000,{'clf__C': 0.01},0.616,0.5987789987789988,0.21311475409836064,0.6402197802197803,0.11550393623956938,0.08000964219994032
D130,LR,7,default,9000,1000,,0.614,0.5826617826617826,0.2024793388429752,0.6201465201465202,0.09682606676983205,0.08038141057505824
D130,LR,7,tuned,9000,1000,{'clf__C': 0.01},0.608,0.5843711843711844,0.2032520325203252,0.6213553113553113,0.09849234408169805,0.0803214730397514
D130,LR,8,default,9000,1000,,0.633,0.568070818070818,0.1934065934065934,0.6296703296703297,0.08092815167739666,0.08141240462531749
D130,LR,8,tuned,9000,1000,{'clf__C': 0.01},0.63,0.5664224664224664,0.19213973799126638,0.6312454212454213,0.07883235415450061,0.08124869511009578
D130,LR,9,default,9000,1000,,0.611,0.586019536019536,0.20449897750511248,0.6255555555555555,0.1005414995630025,0.08024969311109237
D130,LR,9,tuned,9000,1000,{'clf__C': 0.01},0.615,0.5932234432234432,0.20944558521560575,0.6283150183150183,0.10905439599436423,0.08020691112028987
D130,RF,0,default,9000,1000,,0.529,0.5894189617533516,0.200339558573854,0.6237373425917933,0.10184595997578301,0.0811249
D130,RF,0,tuned,9000,1000,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 100}",0.558,0.6053355369454483,0.21071428571428572,0.6457652413078603,0.12017684859495095,0.07945510638593564
D130,RF,1,default,9000,1000,,0.532,0.5859963739069303,0.19863013698630136,0.6190813897556704,0.09795261581270609,0.0811397
D130,RF,1,tuned,9000,1000,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.58,0.6427558307329888,0.23357664233576642,0.6919300928723837,0.16314473687084644,0.07872748293020401
D130,RF,2,default,9000,1000,,0.53,0.5798295489584233,0.1952054794520548,0.5978675119328063,0.09092840528472429,0.08326159999999999
D130,RF,2,tuned,9000,1000,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.566,0.5742424055550759,0.19330855018587362,0.6231946619963245,0.08500358703175806,0.07989253763275829
D130,RF,3,default,9000,1000,,0.534,0.5587301587301587,0.1853146853146853,0.5495238095238095,0.06727360829332829,0.084781
D130,RF,3,tuned,9000,1000,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.58,0.563980463980464,0.1891891891891892,0.5852503052503052,0.07401153862812075,0.08090051131033632
D130,RF,4,default,9000,1000,,0.52,0.581074481074481,0.19732441471571907,0.6198229548229548,0.09282003260243267,0.0821411
D130,RF,4,tuned,9000,1000,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.602,0.6010989010989011,0.2134387351778656,0.6536019536019536,0.11739924195793387,0.08013894116086291
D130,RF,5,default,9000,1000,,0.53,0.5715506715506715,0.19243986254295534,0.5956105006105006,0.08191647455576136,0.08279220000000001
D130,RF,5,tuned,9000,1000,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 100}",0.596,0.6028083028083029,0.2140077821011673,0.6462148962148961,0.11907099047968285,0.08036288383279608
D130,RF,6,default,9000,1000,,0.523,0.5576923076923077,0.18461538461538463,0.588034188034188,0.06604524705839446,0.08294489999999999
D130,RF,6,tuned,9000,1000,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.585,0.6067765567765568,0.21550094517958412,0.65004884004884,0.12314992958392444,0.08014197586070039
D130,RF,7,default,9000,1000,,0.533,0.5481684981684982,0.17926186291739896,0.5869963369963369,0.05518848013622877,0.08306770000000001
D130,RF,7,tuned,9000,1000,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.584,0.5862026862026862,0.20306513409961685,0.6171428571428571,0.09960398278837582,0.08058867677851282
D130,RF,8,default,9000,1000,,0.534,0.5336996336996337,0.1708185053380783,0.5563919413919414,0.038637513184220526,0.0855435
